!Family,Genus,Species,Code,CommonName,Size,MinDepth,MaxDepth,commonname,TaxonomicNotes
Myxinidae,Eptatretus,cirrhatus,Eptcir,Hagfish,970,0,1100,Hagfish,NA
Carcharhinidae,Carcharhinus,brachyurus,Carbra,Bronze whaler shark,3300,0,360,Bronze whaler shark,NA
Carcharhinidae,Carcharhinus,galapagensis,Cargal,Galapagos shark,3700,1,286,Galapagos shark,NA
Scyliorhinidae,Cephaloscyllium,isabellum,Cepisa,Carpet shark,905,5,690,Carpet shark,Changed from C. isabella; source: Te Papa; fishbase says isabella
Triakidae,Galeorhinus,galeus,Galgal,School shark,1750,0,1100,School shark,NA
Triakidae,Mustelus,lenticulatus,Muslen,Rig,NA,NA,NA,Rig,NA
Hexanchidae,Notorynchus,cepedianus,Notcep,Broadsnout sevengill,NA,NA,NA,Broadsnout sevengill,NA
Dasyatidae,Bathytoshia,brevicaudata,Dasbre,Short-tailed stingray,4300,0,476,Short-tailed stingray,Changed from ""Dasyatis brev""; source fishbase
Dasyatidae,Bathytoshia,lata,Dasthe,Long-tailed stingray,3300,0,440,Long-tailed stingray,Changed from ""Dasyatis thetidis""; source fishbase
Myliobatidae,Myliobatis,tenuicaudatus,Mylten,Eagle ray,1050,0,160,Eagle ray,Corrected from ""Myliobatus""
Squalidae,Squalus,acanthias,Squaca,Spiny dogfish,1200,0,1460,Spiny dogfish,NA
Percophidae,Hemerocoetes,monopterygius,Hemmon,Opalfish,NA,NA,NA,Opalfish,NA
Polyprionidae,Polyprion,oxygeneios,Poloxy,Hapuku,NA,NA,NA,Hapuku,NA
Congridae,Conger,verreauxi,Conver,Common conger eel,2000,NA,45,Common conger eel,NA
Congridae,Conger,wilsoni,Conwil,Northern conger eel,904,NA,30,Northern conger eel,NA
Muraenidae,Enchelycore,ramosa,Encram,Mosaic moray,1800,NA,NA,Mosaic moray,NA
Muraenidae,Gymnothorax,nubilus,Gymnub,Grey moray,820,NA,NA,Grey moray,NA
Muraenidae,Gymnothorax,obesus,Gymobe,Speckled moray,1720,NA,NA,Speckled moray,NA
Muraenidae,Gymnothorax,porphyreus,Gympor,Lowfin moray,1060,1,40,Lowfin moray,NA
Muraenidae,Gymnothorax,prasinus,Gympra,Yellow moray,1500,NA,NA,Yellow moray,NA
Muraenidae,Gymnothorax,prionodon,Gympri,Mottled moray,870,NA,NA,Mottled moray,NA
Synodontidae,Synodus,doaki,Syndoa,Red lizardfish,244,9,260,Red lizardfish,NA
Synodontidae,Synodus,similis,Synsim,Lavender lizardfish,185,25,76,Lavender lizardfish,NA
Hemiramphidae,Hyporhamphus,ihi,Hypihi,Garfish/piper,400,NA,NA,Garfish/piper,NA
Berycidae,Centroberyx,affinis,Cenaff,Golden snapper,435,10,450,Golden snapper,NA
Holocentridae,Pristilepis,oligolepis,Priris,Unknown leaffish/Rough squirrelfish,252,14,220,Unknown leaffish/Rough squirrelfish,NA
Trachichthyidae,Optivus,elongatus,Optelo,Slender roughy,120,0,70,Slender roughy,NA
Trachichthyidae,Paratrachichthys,trailli,Partra,Common roughy,250,20,500,Common roughy,NA
Moridae,Lotella,phycis,Lotphy,Beardie,195,NA,NA,Beardie,NA
Moridae,Lotella,rhacina,Lotrha,Rock cod,342,10,90,Rock cod,Corrected from ""L. rhacinus""
Moridae,Pseudophycis,bachus,Psebac,Red cod,650,26,700,Red cod,NA
Moridae,Pseudophycis,barbata,Psebar,Southern bastard cod,620,0,300,Southern bastard cod,NA
Moridae,Pseudophycis,breviuscula,Psebre,Northern bastard codling,151,0,220,Northern bastard codling,NA
Aplodactylidae,Aplodactylus,arctidens,Aplarc,Marblefish,570,0,40,Marblefish,NA
Aplodactylidae,Aplodactylus,etheridgii,Apleth,Notch-head marblefish,464,6,20,Notch-head marblefish,NA
Apogonidae,Ostorhinchus,doederleini,Apodoe,Doederlein's cardinalfish,140,0,10,Doederlein's cardinalfish,Corrected from ""Apogon""
Arripidae,Arripis,trutta,Arrtru,Kahawai,890,30,39,Kahawai,NA
Arripidae,Arripis,xylabion,Arrxyl,Kahawai (Kermadecs),900,NA,NA,Kahawai (Kermadecs),NA
Blenniidae,Cirripectes,alboapicalis,Ciralb,White-dot blenny,155,0,10,White-dot blenny,NA
Blenniidae,Parablennius,laticlavius,Parlat,Crested blenny,69,1,3,Crested blenny,NA
Blenniidae,Plagiotremus,tapeinosoma,Platap,Mimic blenny,110,1,45,Mimic blenny,NA
Bovichtidae,Bovichtus,variegatus,Bovvar,Thornfish,267,NA,NA,Thornfish,NA
Callanthiidae,Callanthias,allporti,Calall,Southern splendid perch,260,20,100,Southern splendid perch,NA
Callanthiidae,Callanthias,australis,Calaus,Northern splendid perch,280,15,365,Northern splendid perch,NA
Carangidae,Decapterus,koheru,Deckoh,Koheru,370,0,55,Koheru,NA
Carangidae,Decapterus,muroadsi,Decmur,Amberstripe scad,450,1,320,Amberstripe scad,NA
Carangidae,Pseudocaranx,dentex,Pseden,Trevally,827,10,238,Trevally,NA
Carangidae,Seriola,lalandi,Serlal,Kingfish,1930,3,825,Kingfish,NA
Carangidae,Seriola,rivoliana,Serriv,Almaco jack,1570,5,245,Almaco jack,NA
Carangidae,Trachurus,novaezelandiae,Trasp.,Jack mackerel,500,22,500,Jack mackerel,NA
Centrolophidae,Seriolella,brama,Serbra,Common warehou,600,22,400,Common warehou,NA
Chaetodontidae,Amphichaetodon,howensis,Amphow,Lord Howe butterflyfish/coralfish,200,10,150,Lord Howe butterflyfish/coralfish,NA
Chaetodontidae,Forcipiger,flavissimus,Fcpfla,Longnose butterflyfish,180,2,145,Longnose butterflyfish,NA
Cheilodactylidae,Chirodactylus,spectabilis,Chespe,Red moki,700,1,50,Red moki,Changed from Cheilodactylus; source: Te Papa
Cheilodactylidae,Goniistius,francisi,Chefra,Blacktip/masked morwong,274,6,88,Blacktip/masked morwong,Changed from Cheilodactylus; source: Te Papa
Cheilodactylidae,Morwong,ephippium,Cheeph,Painted moki,410,0,250,Painted moki,Changed from Cheilodactylus; source: Te Papa
Cheilodactylidae,Nemadactylus,douglasii,Nemdou,Porae,600,0,200,Porae,NA
Cheilodactylidae,Nemadactylus,macropterus,Nemmac,Tarakihi,500,22,450,Tarakihi,NA
Cheilodactylidae,Pseudogoniistius,nigripes,Chenig,Magpie perch/morwong,410,NA,65,Magpie perch/morwong,Changed from Cheilodactylus; source: Te Papa
Chironemidae,Chironemus,marmoratus,Chimar,Hiwihiwi,400,0,30,Hiwihiwi,NA
Cirrhitidae,Notocirrhitus,splendens,Cirspl,Splendid hawkfish,250,NA,NA,Splendid hawkfish,NA
Emmelichthyidae,Plagiogeneion,rubiginosum,Plarub,Rubyfish,470,50,600,Rubyfish,Corrected from P. -sus
